fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-06-08,6A,WYMOY,ASTO3,NA,NA,NA,NA
2026-06-08,6A,CODI6,DELL3,NA,NA,NA,NA
2026-06-08,6A,LEGE3,TEWI1,NA,NA,NA,NA
2026-06-08,6B,ST M2,KIMP5,NA,NA,NA,NA
2026-06-08,6B,HITC5,CODI7,NA,NA,NA,NA
2026-06-08,6B,DELL4,ORCH5,NA,NA,NA,NA
2026-06-08,6B,ASTO2,DIGS4,NA,NA,NA,NA
2026-06-08,7A,WATT5,DELL5,NA,NA,NA,NA
2026-06-08,7A,ST PS,WHEA6,NA,NA,NA,NA
2026-06-08,7A,KIMP6,WEST2,NA,NA,NA,NA
2026-06-08,7A,KNEB5,ODYS6,NA,NA,NA,NA
2026-06-08,7B,KNEB4,WELW7,NA,NA,NA,NA
2026-06-08,7B,TEWI2,DELL6,NA,NA,NA,NA
2026-06-08,7B,HODD2,ASHW3,NA,NA,NA,NA
2026-06-08,7B,ORCH6,HITC6,NA,NA,NA,NA
2026-06-08,8A,KNEB6,DIGS5,NA,NA,NA,NA
2026-06-08,8A,WELW8,CODI8,NA,NA,NA,NA
2026-06-08,8A,LIST3,KIMP7,NA,NA,NA,NA
2026-06-08,8A,ASTO4,LETC3,NA,NA,NA,NA
2026-06-15,1,WELW2,PIRT1,NA,NA,NA,NA
2026-06-15,1,KNEB1,WELW1,NA,NA,NA,NA
2026-06-15,1,CODI1,ORCH1,NA,NA,NA,NA
2026-06-15,1,HITC1,ELLI1,NA,NA,NA,NA
2026-06-15,2,GOSLG,WHEA1,NA,NA,NA,NA
2026-06-15,2,ASTO1,KIMP1,NA,NA,NA,NA
2026-06-15,2,ELLI2,LETC1,NA,NA,NA,NA
2026-06-15,2,WELW3,CODI2,NA,NA,NA,NA
2026-06-15,3A,KNEB3,DELL1,NA,NA,NA,NA
2026-06-15,3A,DIGS2,ODYS1,NA,NA,NA,NA
